Color Temp,Lux,R,G,B,C
3038,3063,3221,3237,1366,8120
3040,3067,3220,3239,1366,8122
3042,3073,3221,3244,1367,8129
3043,3077,3222,3247,1368,8134
3043,3080,3222,3249,1368,8136
3044,3083,3222,3251,1368,8138
3045,3086,3223,3253,1369,8142
3046,3090,3223,3256,1369,8146
3046,3095,3225,3260,1370,8154
3047,3100,3226,3263,1370,8159