Color Temp,Lux,R,G,B,C
3044,5282,5517,5568,2343,13833
3047,5219,5456,5506,2322,13684
3048,5324,5544,5607,2357,13920
3049,5350,5563,5631,2365,13976
3049,5374,5580,5653,2372,14028
3050,5397,5595,5673,2378,14073
3050,5403,5600,5679,2380,14087
3049,5401,5602,5678,2380,14086
3048,5464,5663,5741,2402,14237
3041,5695,5892,5972,2483,14799
