Color Temp,Lux,R,G,B,C
2215,757,1790,1166,685,3666
2212,759,1794,1168,685,3673
2212,759,1796,1169,686,3675
2210,759,1797,1169,686,3678
2209,760,1799,1170,686,3680
2209,761,1800,1171,686,3682
2208,760,1801,1171,687,3684
2207,761,1803,1172,687,3688
2207,762,1804,1173,687,3690
2205,762,1805,1173,687,3692